batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
34,262144,262144,57,0.000217437744140625,0.00033640085708852574
35,262144,262144,52,0.0001983642578125,0.0002776531554242734
36,262144,262144,52,0.0001983642578125,4.8708360425253616e-05
37,262144,262144,54,0.00020599365234375,0.00021691308371751816
38,262144,262144,45,0.000171661376953125,3.062831969513624e-05
39,262144,262144,55,0.000209808349609375,0.00029983507994568726
40,262144,262144,58,0.00022125244140625,0.00034718023075130944
41,262144,262144,53,0.000202178955078125,0.00015275502921663353
42,262144,262144,55,0.000209808349609375,0.00020919512374084626
43,262144,262144,51,0.000194549560546875,0.00016303516633087156
44,262144,262144,51,0.000194549560546875,0.00022649755516490622
45,262144,262144,65,0.000247955322265625,8.543497660595811e-05
46,262144,262144,66,0.00025177001953125,0.00017553374043677294
47,262144,262144,49,0.000186920166015625,0.00033640076992180745
48,262144,262144,46,0.00017547607421875,8.633898921850403e-05
49,262144,262144,62,0.00023651123046875,0.0006052934130265086
50,262144,262144,63,0.000240325927734375,0.0007103800196754939
51,262144,262144,53,0.000202178955078125,0.00014885720926782753
52,262144,262144,46,0.00017547607421875,0.00020575601599759352
53,262144,262144,60,0.0002288818359375,8.483598528208347e-05
54,262144,262144,58,0.00022125244140625,0.0001079305936317887
55,262144,262144,47,0.000179290771484375,0.0001318881520309123
56,262144,262144,53,0.000202178955078125,0.00016197492696479188
57,262144,262144,59,0.000225067138671875,0.0002741200979485825
58,262144,262144,51,0.000194549560546875,5.891211322439638e-05
59,262144,262144,51,0.000194549560546875,5.110921910689292e-05
60,262144,262144,56,0.000213623046875,0.0004884785809553538
61,262144,262144,54,0.00020599365234375,0.0010074946799294437
62,262144,262144,47,0.000179290771484375,0.00018593525565435698
63,262144,262144,57,0.000217437744140625,4.2890510968396356e-05
64,262144,262144,56,0.000213623046875,2.382554503177481e-05
65,262144,262144,61,0.000232696533203125,0.000361516024321773
66,262144,262144,54,0.00020599365234375,0.0002434063204896919
67,262144,262144,42,0.00016021728515625,0.0009584156439659264
68,262144,262144,60,0.0002288818359375,2.8598330741314015e-05
69,262144,262144,60,0.0002288818359375,0.0001635457693485165
70,262144,262144,54,0.00020599365234375,0.00011097542302485053
71,262144,262144,44,0.0001678466796875,0.0004865411985870427
72,262144,262144,51,0.000194549560546875,0.0001607587909218111
73,262144,262144,47,0.000179290771484375,0.0004742781617708136
74,262144,262144,46,0.00017547607421875,0.00011388917962373846
75,262144,262144,44,0.0001678466796875,0.00020545508927716227
76,262144,262144,45,0.000171661376953125,0.00013222550864355753
77,262144,262144,70,0.00026702880859375,0.0001514309222383492
78,262144,262144,63,0.000240325927734375,9.670367044711803e-05
79,262144,262144,55,0.000209808349609375,4.192635409272505e-05
80,262144,262144,55,0.000209808349609375,0.00022643146695466854
81,262144,262144,58,0.00022125244140625,0.0007535240008402777
82,262144,262144,56,0.000213623046875,2.4307881647311902e-05
83,262144,262144,67,0.000255584716796875,0.0009575142219773181
84,262144,262144,57,0.000217437744140625,0.00012809150040093975
85,262144,262144,56,0.000213623046875,0.0001802997044793031
86,262144,262144,63,0.000240325927734375,1.424005671379902e-05
87,262144,262144,57,0.000217437744140625,0.00012322049956603465
88,262144,262144,48,0.00018310546875,0.00012085406014827882
89,262144,262144,55,0.000209808349609375,9.209531602816234e-05
90,262144,262144,61,0.000232696533203125,0.00013294081054526785
91,262144,262144,55,0.000209808349609375,0.000599358326870858
92,262144,262144,49,0.000186920166015625,0.00046358010809433026
93,262144,262144,47,0.000179290771484375,8.409307218926187e-05
94,262144,262144,50,0.00019073486328125,0.0010011671499465802
95,262144,262144,53,0.000202178955078125,0.0011024903013778786
96,262144,262143,56,0.000213623046875,0.0004662038328020479
97,262144,262144,55,0.000209808349609375,0.0002628453165447464
98,262144,262144,63,0.000240325927734375,0.0006213007741875387
99,262144,262144,53,0.000202178955078125,0.00047812728833673823
100,262144,262144,53,0.000202178955078125,0.0006962603608196005
101,262144,262144,71,0.000270843505859375,0.00019681588754472124
